Designator,Mid X,Mid Y,Rotation,Layer
C1,155.4,-79.7125,270.0,top
C10,144.8,-85.0,180.0,top
C11,144.55,-88.85,180.0,top
C12,153.0,-93.83,270.0,top
C13,151.8,-78.8,90.0,top
C14,150.85,-79.3,90.0,top
C15,155.0,-88.8,0.0,top
C16,154.0,-93.85,270.0,top
C17,152.5,-82.75,90.0,top
C18,147.75,-95.58,270.0,top
C19,153.0,-95.83,90.0,top
C2,158.1,-83.2,0.0,top
C20,146.65,-76.15,180.0,top
C24,149.9,-79.6,90.0,top
C3,154.97,-83.65,0.0,top
C8,153.45,-83.1,90.0,top
C9,154.95,-84.6,0.0,top
D2,158.3,-86.3,0.0,top
D5,172.3,-79.0,0.0,top
D6,162.4,-73.25,90.0,top
J1,165.395,-60.3,90.0,top
J10,156.4,-96.42,0.0,top
J11,137.595,-98.4,90.0,top
J12,143.695,-98.4,90.0,top
J13,137.58,-94.85,90.0,top
J14,134.4,-88.33,0.0,top
J2,166.43,-93.83,90.0,top
J3,176.3,-70.645,0.0,top
J4,153.4,-61.34,180.0,top
J5,174.345,-84.6,0.0,top
J6,134.4,-63.5,180.0,top
J7,174.545,-60.3,90.0,top
J8,171.25,-97.7,90.0,top
J9,161.295,-97.7,90.0,top
Q1,165.8,-66.8,270.0,top
Q3,175.85,-75.6625,270.0,top
R1,171.9,-77.15,0.0,top
R10,160.15,-65.25,90.0,top
R11,141.7,-96.05,180.0,top
R12,143.7,-96.05,180.0,top
R13,136.8,-92.5,180.0,top
R2,158.275,-85.3,0.0,top
R21,163.1,-91.45,0.0,top
R22,165.65,-91.5,0.0,top
R3,150.6,-82.56,270.0,top
R4,151.55,-82.56,270.0,top
R5,150.2,-93.1,180.0,top
R6,142.85,-76.05,180.0,top
R7,139.05,-76.35,0.0,top
R8,155.3,-67.15,0.0,top
R9,151.1,-67.1,180.0,top
SW1,135.3,-78.7,90.0,top
U1,158.05,-80.3625,270.0,top
U2,144.0,-79.75,270.0,top
U3,149.9,-87.82,90.0,top
Y1,150.4,-95.43,180.0,top
